,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tiksi,74,RU,1581469911,85,71.69,128.87,-22.43,3.69
1,solnechnyy,34,RU,1581469911,93,50.72,136.63,8.71,1.12
2,muscle shoals,90,US,1581469911,93,34.74,-87.67,46.99,4.7
3,barrow,1,US,1581469911,74,71.29,-156.79,-23.8,6.93
4,atuona,0,PF,1581469831,76,-9.8,-139.03,81.54,13.71
5,mar del plata,0,AR,1581469732,77,-38.0,-57.56,70.0,9.17
6,ilulissat,15,GL,1581469911,49,69.22,-51.1,-2.2,3.36
7,rikitea,51,PF,1581469911,78,-23.12,-134.97,79.43,19.89
8,hilo,90,US,1581469911,64,19.73,-155.09,75.2,11.41
9,hermanus,0,ZA,1581469912,88,-34.42,19.23,70.0,8.01
10,ushuaia,75,AR,1581469830,66,-54.8,-68.3,55.4,4.16
11,vostok,87,RU,1581469912,88,46.49,135.88,27.05,6.82
12,kirando,99,TZ,1581469912,77,-7.42,30.6,74.34,5.14
13,la ronge,20,CA,1581469890,52,55.1,-105.28,-11.2,13.87
14,rongcheng,94,CN,1581469912,92,30.63,117.85,55.99,0.76
15,dunda,100,TZ,1581469912,93,-8.12,34.25,66.74,1.52
16,hamilton,75,US,1581469913,64,39.18,-84.53,37.99,5.82
17,spirit river,90,CA,1581469913,79,55.78,-118.84,19.4,13.87
18,bambous virieux,75,MU,1581469913,88,-20.34,57.76,79.0,11.41
19,saskylakh,96,RU,1581469913,96,71.92,114.08,-33.27,8.5
20,stornoway,100,GB,1581469866,86,58.21,-6.39,39.2,18.34
21,east london,50,ZA,1581469913,80,-33.02,27.91,71.71,12.66
22,santiago,11,CL,1581469856,47,-33.46,-70.65,77.0,4.7
23,norman wells,75,CA,1581469913,76,65.28,-126.83,-7.6,0.18
24,ponta do sol,75,PT,1581469914,82,32.67,-17.1,62.6,3.36
25,sobolevo,100,RU,1581469914,97,54.43,31.9,32.43,9.42
26,kapaa,75,US,1581469839,88,22.08,-159.32,75.2,19.46
27,gushikawa,40,JP,1581469914,60,26.35,127.87,73.4,17.22
28,port hardy,75,CA,1581469914,81,50.7,-127.42,44.6,8.05
29,portland,90,US,1581469790,75,45.52,-122.68,46.0,4.03
30,saint-philippe,4,RE,1581469914,94,-21.36,55.77,77.0,23.04
31,sitka,75,US,1581469914,80,57.05,-135.33,39.2,4.7
32,qaanaaq,0,GL,1581469914,68,77.48,-69.36,-18.2,12.59
33,lavrentiya,100,RU,1581469915,96,65.58,-171.0,-6.18,10.56
34,port-cartier,90,CA,1581469915,92,50.03,-66.87,23.0,6.93
35,souillac,75,MU,1581469915,88,-20.52,57.52,79.0,11.41
36,bluff,100,NZ,1581469855,79,-46.6,168.33,63.0,10.0
37,punta arenas,90,CL,1581469751,82,-53.15,-70.92,55.4,6.93
38,faya,45,SA,1581469915,70,18.39,42.45,50.0,7.38
39,mataura,100,NZ,1581469829,79,-46.19,168.86,63.0,10.0
40,chebarkul,79,RU,1581469915,76,54.97,60.36,14.56,4.32
41,villazon,18,BO,1581469915,64,-22.09,-65.59,57.43,13.51
42,tevaitoa,15,PF,1581469915,79,-16.78,-151.5,81.73,14.88
43,richards bay,15,ZA,1581469915,71,-28.78,32.04,75.24,12.57
44,bendorf,40,DE,1581469915,69,50.43,7.57,41.0,11.41
45,caracollo,100,PE,1581469916,90,-14.92,-70.66,44.44,4.43
46,garmsar,0,IR,1581469916,24,35.22,52.34,29.55,20.94
47,rocha,28,UY,1581469916,86,-34.48,-54.33,59.74,6.06
48,albany,90,US,1581469916,84,42.6,-73.97,37.4,10.29
49,hithadhoo,83,MV,1581469832,76,-0.6,73.08,82.94,17.69
50,itarema,99,BR,1581469916,91,-2.92,-39.92,76.12,3.4
51,pacific grove,1,US,1581469916,25,36.62,-121.92,69.8,8.05
52,luderitz,81,NA,1581469916,93,-26.65,15.16,64.4,9.17
53,kaitangata,100,NZ,1581469896,94,-46.28,169.85,53.89,13.91
54,nikolskoye,75,RU,1581469916,95,59.7,30.79,35.01,6.71
55,porangatu,55,BR,1581469917,92,-13.44,-49.15,73.33,2.91
56,pontes e lacerda,100,BR,1581469917,95,-15.23,-59.34,73.94,1.72
57,busselton,23,AU,1581469917,63,-33.65,115.33,73.99,1.99
58,oudtshoorn,90,ZA,1581469917,100,-33.59,22.2,64.4,4.7
59,hobart,75,AU,1581469621,77,-42.88,147.33,66.0,14.99
60,kruisfontein,0,ZA,1581469917,91,-34.0,24.73,62.83,8.08
61,khatanga,0,RU,1581469871,96,71.97,102.5,-27.18,2.82
62,grants pass,1,US,1581469621,54,42.44,-123.33,57.99,4.45
63,jamestown,90,US,1581469831,69,42.1,-79.24,34.0,14.99
64,yenagoa,5,NG,1581469917,89,4.92,6.26,75.61,2.84
65,mahebourg,75,MU,1581469917,88,-20.41,57.7,79.0,11.41
66,ocala,40,US,1581469746,94,29.19,-82.14,75.2,3.36
67,inuvik,75,CA,1581469918,75,68.35,-133.72,-14.8,4.7
68,puerto ayora,20,EC,1581469921,62,-0.74,-90.35,84.2,17.22
69,zhigansk,100,RU,1581469869,96,66.77,123.37,-12.35,11.14
70,hasaki,20,JP,1581469921,52,35.73,140.83,46.0,2.24
71,castro,17,BR,1581469921,98,-24.79,-50.01,60.57,8.21
72,cherskiy,0,RU,1581469921,56,68.75,161.3,-5.67,11.97
73,lompoc,1,US,1581469921,59,34.64,-120.46,66.0,8.05
74,te anau,99,NZ,1581469921,59,-45.42,167.72,64.56,4.32
75,sakaiminato,75,JP,1581469922,81,35.55,133.23,44.6,3.36
76,aksarka,81,RU,1581469922,94,66.56,67.8,12.52,9.95
77,longyearbyen,20,SJ,1581469830,66,78.22,15.64,10.4,18.34
78,san cristobal,44,VE,1581469922,54,7.77,-72.22,84.2,2.24
79,cabedelo,58,BR,1581469868,88,-6.98,-34.83,78.8,6.93
80,geraldton,0,AU,1581469922,51,-28.77,114.6,84.2,12.75
81,new norfolk,75,AU,1581469863,77,-42.78,147.06,66.0,14.99
82,arraial do cabo,100,BR,1581469656,80,-22.97,-42.03,75.67,10.04
83,poum,100,NC,1581469922,86,-20.23,164.02,82.02,25.84
84,bonavista,27,CA,1581469922,87,48.65,-53.11,26.01,1.99
85,dikson,100,RU,1581469922,93,73.51,80.55,0.52,33.91
86,jalu,1,LY,1581469916,60,29.03,21.55,56.25,6.31
87,tuni,7,IN,1581469923,83,17.35,82.55,65.84,2.44
88,huejuquilla el alto,0,MX,1581469923,44,22.6,-103.87,67.78,12.93
89,krasnoselkup,100,RU,1581469923,93,65.7,82.47,4.06,19.39
90,madimba,86,TZ,1581469923,82,-10.4,40.33,80.94,3.33
91,butaritari,98,KI,1581469923,79,3.07,172.79,82.96,13.56
92,shimoda,75,JP,1581469923,53,34.67,138.95,53.6,5.82
93,solone,90,UA,1581469923,99,48.21,34.87,33.8,8.95
94,nkan,20,GA,1581469923,79,0.38,9.78,84.2,9.17
95,bilma,3,NE,1581469924,24,18.69,12.92,58.17,4.81
96,akodia,0,IN,1581469924,44,23.38,76.6,56.79,4.7
97,bredasdorp,0,ZA,1581469924,82,-34.53,20.04,68.0,13.87
98,magdagachi,67,RU,1581469924,93,53.45,125.8,-0.38,3.47
99,lata,75,PT,1581469924,93,40.16,-8.33,55.99,2.24
100,lorengau,100,PG,1581469925,78,-2.02,147.27,82.58,12.57
101,batemans bay,96,AU,1581469928,81,-35.72,150.18,75.0,3.0
102,awbari,0,LY,1581469929,28,26.59,12.78,51.69,2.55
103,shar,2,KZ,1581469929,91,49.59,81.05,-11.99,4.74
104,locri,20,IT,1581469929,77,38.24,16.26,63.0,4.7
105,tomatlan,0,MX,1581469929,57,19.93,-105.25,79.36,6.6
106,calbiga,1,PH,1581469929,77,11.62,125.02,77.45,7.2
107,kyaikto,49,MM,1581469929,38,17.3,97.02,64.58,2.17
108,alice springs,9,AU,1581469929,17,-23.7,133.88,93.2,5.82
109,aasiaat,15,GL,1581469929,75,68.71,-52.87,-12.26,4.7
110,nome,1,US,1581469890,64,64.5,-165.41,-2.0,4.7
111,victoria,40,HK,1581469902,93,22.29,114.16,69.01,8.05
112,vaini,75,TO,1581469930,83,-21.2,-175.2,84.2,8.05
113,biloela,0,AU,1581469930,53,-24.42,150.5,84.7,6.35
114,cape town,0,ZA,1581469674,68,-33.93,18.42,72.0,4.7
115,lalmohan,0,BD,1581469930,44,22.34,90.74,58.46,7.05
116,wadi maliz,0,TN,1581469930,71,36.47,8.55,55.4,2.24
117,vardo,40,NO,1581469930,80,70.37,31.11,30.2,11.41
118,nasirabad,21,IN,1581469931,41,26.3,74.73,51.51,4.18
119,haicheng,90,CN,1581469931,87,40.85,122.75,38.12,9.98
120,codrington,100,AU,1581469931,91,-38.27,141.97,63.45,20.65
121,nakhon phanom,3,TH,1581469931,77,17.41,104.78,73.0,2.84
122,gyonk,97,HU,1581469931,71,46.56,18.48,40.37,8.97
123,cidreira,10,BR,1581469865,72,-30.18,-50.21,73.6,20.87
124,saldanha,0,ZA,1581469931,72,-33.01,17.94,64.4,6.93
125,thompson,20,CA,1581469851,61,55.74,-97.86,-23.8,10.29
126,port alfred,1,ZA,1581469931,93,-33.59,26.89,66.0,1.99
127,dayong,90,CN,1581469931,82,25.02,118.29,64.4,2.24
128,macusani,100,PE,1581469932,95,-14.08,-70.43,38.08,6.71
129,nanortalik,100,GL,1581469932,82,60.14,-45.24,16.34,13.96
130,saint george,1,US,1581469861,19,37.1,-113.58,52.0,5.82
131,lasa,75,IT,1581469932,45,46.62,10.7,28.4,11.41
132,nombre de dios,75,MX,1581469932,18,23.85,-104.23,68.0,20.8
133,nyurba,85,RU,1581469857,97,63.28,118.33,-17.64,5.08
134,aswan,0,EG,1581469932,46,24.09,32.91,48.85,9.51
135,cascais,20,PT,1581469933,93,38.7,-9.42,55.4,5.82
136,ahipara,0,NZ,1581469933,63,-35.17,173.17,84.99,3.0
137,ayan,100,RU,1581469933,88,56.45,138.17,-2.0,3.71
138,saint-georges,20,GD,1581469796,83,12.06,-61.75,78.8,11.41
139,itaituba,60,BR,1581469933,94,-4.28,-55.98,75.22,0.54
140,coihaique,75,CL,1581469933,63,-45.58,-72.07,66.2,4.92
141,luzhou,69,CN,1581469934,82,28.87,105.44,51.55,3.33
142,katsuura,75,JP,1581469934,48,35.13,140.3,53.01,3.36
143,liverpool,40,GB,1581469934,64,53.41,-2.98,42.01,21.92
144,bethel,75,US,1581469934,93,41.37,-73.41,46.0,13.87
145,narsaq,24,GL,1581469934,38,60.92,-46.05,5.0,6.93
146,hobyo,32,SO,1581469934,77,5.35,48.53,74.71,11.25
147,chokurdakh,58,RU,1581469934,67,70.63,147.92,-27.92,0.98
148,egvekinot,97,RU,1581469934,76,66.32,-179.17,-6.5,6.53
149,mitsamiouli,6,KM,1581469934,69,-11.38,43.28,83.79,2.98
150,fergus falls,1,US,1581469935,79,46.28,-96.08,28.4,12.75
151,carutapera,99,BR,1581469778,83,-1.2,-46.02,80.56,16.2
152,palmer,90,US,1581469935,93,42.16,-72.33,39.99,2.51
153,porto novo,20,BJ,1581469853,78,6.5,2.6,80.6,3.36
154,taupo,22,NZ,1581469935,25,-38.68,176.08,83.25,1.07
155,ustye,100,RU,1581469935,97,59.63,39.74,31.73,8.7
156,thinadhoo,50,MV,1581469935,78,0.53,72.93,82.65,20.78
157,aripuana,67,BR,1581469921,88,-9.17,-60.63,76.71,1.25
158,yar-sale,99,RU,1581469935,95,66.83,70.83,11.57,9.75
159,benito juarez,75,MX,1581469935,30,19.39,-99.17,84.2,21.92
160,walvis bay,8,NA,1581469850,82,-22.96,14.51,66.99,12.75
161,san patricio,20,MX,1581469936,78,19.22,-104.7,80.6,20.8
162,oranjestad,20,AW,1581469936,78,12.52,-70.03,80.6,19.46
163,ambon,40,ID,1581469936,58,-3.7,128.18,87.8,12.75
164,santa isabel do rio negro,99,BR,1581469936,59,-0.41,-65.02,83.48,0.92
165,gewane,94,ET,1581469936,65,10.17,40.65,70.93,15.21
166,diamantino,56,BR,1581469936,95,-14.41,-56.45,71.31,1.07
167,mount darwin,100,ZW,1581469936,96,-16.77,31.58,66.6,2.84
168,oro valley,90,US,1581469936,93,32.39,-110.97,51.01,9.17
169,chuy,1,UY,1581469856,76,-33.7,-53.46,66.15,9.17
170,pisco,75,PE,1581469937,78,-13.7,-76.22,71.6,18.34
171,san quintin,0,MX,1581469937,46,30.48,-115.95,61.11,22.84
172,formosa do rio preto,43,BR,1581469779,86,-11.05,-45.19,72.43,1.61
173,minsk,75,BY,1581469921,91,53.9,27.57,33.8,8.95
174,anadyr,90,RU,1581469937,77,64.75,177.48,6.8,11.18
175,najran,5,SA,1581469937,57,17.49,44.13,51.8,6.93
176,torbay,75,CA,1581469937,86,47.67,-52.73,28.99,3.36
177,anaconda,90,US,1581469937,59,46.13,-112.94,33.8,12.75
178,muncar,91,ID,1581469938,84,-8.43,114.33,79.7,4.92
179,itoman,40,JP,1581469935,60,26.12,127.67,73.4,17.22
180,emerald,40,AU,1581469938,70,-23.53,148.17,87.01,4.7
181,tuatapere,100,NZ,1581469938,79,-46.13,167.68,63.0,10.0
182,chincha alta,75,PE,1581469938,78,-13.41,-76.13,71.6,18.34
183,yellowknife,5,CA,1581469669,67,62.46,-114.35,-25.01,4.7
184,marrakesh,15,MA,1581469938,41,31.63,-8.01,59.0,4.7
185,avarua,98,CK,1581469938,74,-21.21,-159.78,84.2,7.36
186,lebu,0,CL,1581469938,75,-37.62,-73.65,62.55,7.9
187,cockburn town,2,TC,1581469938,76,21.46,-71.14,78.08,20.11
188,kieta,72,PG,1581469939,67,-6.22,155.63,84.4,6.42
189,abu samrah,74,SY,1581469939,64,35.3,37.18,34.97,6.11
190,nova olinda do norte,31,BR,1581469939,88,-3.89,-59.09,77.02,0.51
191,tuktoyaktuk,20,CA,1581469939,74,69.45,-133.04,-25.6,10.29
192,upernavik,100,GL,1581469939,75,72.79,-56.15,-8.48,1.9
193,trabzon,75,TR,1581469939,29,40.92,39.83,48.2,19.46
194,quelimane,75,MZ,1581469939,88,-17.88,36.89,82.4,4.7
195,ixtapa,75,MX,1581469841,73,20.7,-105.2,77.0,4.7
196,youhao,100,CN,1581469939,91,47.87,128.83,27.45,7.72
197,limon,46,CR,1581469940,86,10.0,-83.03,79.0,4.68
198,ivanava,100,BY,1581469940,88,52.15,25.54,35.49,16.11
199,brewster,75,US,1581469940,93,41.4,-73.62,46.99,13.87
200,plymouth,90,US,1581469940,100,41.83,-70.83,43.0,3.36
201,wewak,100,PG,1581469940,72,-3.55,143.63,81.45,3.02
202,kulunda,0,RU,1581469940,90,52.57,78.94,-3.37,10.33
203,hartlepool,40,GB,1581469940,93,54.69,-1.21,39.99,32.21
204,samarkand,90,UZ,1581469941,93,39.65,66.96,37.4,6.93
205,cayenne,75,GF,1581469915,78,4.93,-52.33,78.8,9.17
206,pirgos,20,GR,1581469941,76,35.12,25.72,55.99,5.82
207,scarborough,36,GB,1581469941,69,54.28,-0.4,39.99,21.92
208,auki,97,SB,1581469941,76,-8.77,160.7,84.74,21.05
209,kaba,0,HU,1581469941,80,47.35,21.28,35.6,9.17
210,sidney,75,AU,1581469804,78,-33.87,151.21,81.0,13.87
211,half moon bay,1,US,1581469686,50,37.46,-122.43,75.2,9.17
212,hay river,20,CA,1581469942,60,60.82,-115.8,-25.6,5.14
213,coquimbo,75,CL,1581469943,88,-29.95,-71.34,73.99,8.05
214,asau,0,RO,1581469943,69,46.43,26.4,33.8,3.36
215,benghazi,19,LY,1581469943,75,32.12,20.07,62.22,13.35
216,port lincoln,97,AU,1581469943,71,-34.73,135.87,64.81,14.54
217,kirakira,95,SB,1581469943,73,-10.45,161.92,84.85,10.76
218,georgetown,20,MY,1581469905,78,5.41,100.34,80.6,4.7
219,nianzishan,0,CN,1581469943,75,47.52,122.88,17.98,1.54
220,pangnirtung,85,CA,1581469943,82,66.15,-65.71,-24.3,2.64
221,port-gentil,100,GA,1581469943,76,-0.72,8.78,83.12,9.78
222,meulaboh,65,ID,1581469893,83,4.14,96.13,81.43,10.54
223,aguimes,0,ES,1581469943,40,27.91,-15.45,70.0,11.41
224,speightstown,20,BB,1581469943,78,13.25,-59.65,78.8,21.92
225,laguna,1,US,1581469944,28,38.42,-121.42,75.99,4.7
226,york,90,US,1581469861,75,40.13,-77.0,46.99,10.29
227,kaka,100,TM,1581469944,88,37.35,59.61,35.74,11.95
228,chapais,90,CA,1581469944,92,49.78,-74.85,19.4,9.17
229,port blair,35,IN,1581469814,75,11.67,92.75,80.33,17.13
230,ancud,75,CL,1581469944,82,-41.87,-73.82,64.4,12.75
231,gigmoto,80,PH,1581469944,76,13.78,124.39,78.42,19.93
232,ejea de los caballeros,75,ES,1581469944,81,42.13,-1.14,53.6,9.35
233,ribeira grande,68,PT,1581469850,89,38.52,-28.7,58.12,8.52
234,bilibino,0,RU,1581469945,64,68.05,166.44,-17.1,3.91
235,lagoa,68,PT,1581469908,81,39.05,-27.98,62.42,14.12
236,pevek,0,RU,1581469894,75,69.7,170.31,-10.64,5.61
237,salisbury,38,GB,1581469945,75,51.07,-1.8,41.0,13.87
238,dunedin,100,NZ,1581469945,90,-45.87,170.5,56.52,14.81
239,caranavi,94,BO,1581469945,97,-15.82,-67.55,60.49,2.68
240,nizwa,10,OM,1581469945,75,22.93,57.53,59.68,2.44
241,puerto colombia,0,CO,1581469945,74,10.99,-74.95,80.6,17.22
242,dabola,40,GN,1581469945,22,10.75,-11.12,74.14,3.69
243,adolfo lopez mateos,73,MX,1581469945,51,28.47,-107.3,43.79,25.95
244,marsa matruh,0,EG,1581469945,66,31.35,27.25,60.46,16.15
245,beringovskiy,100,RU,1581469946,93,63.05,179.32,3.9,13.22
246,sedro-woolley,90,US,1581469946,87,48.5,-122.24,46.99,5.82
247,kavieng,100,PG,1581469946,78,-2.57,150.8,83.68,14.67
248,kristiinankaupunki,100,FI,1581469946,93,62.27,21.38,33.04,8.03
249,antofagasta,20,CL,1581469946,72,-23.65,-70.4,68.0,12.75
250,gospic,97,HR,1581469946,93,44.55,15.37,41.0,2.24
251,gat,75,IL,1581469879,87,31.61,34.76,54.0,12.75
252,marolambo,79,MG,1581469946,94,-20.05,48.12,63.72,2.13
253,porto santo,75,PT,1581469946,87,33.07,-16.34,62.6,2.24
254,ust-kulom,100,RU,1581469946,90,61.69,53.69,22.24,10.54
255,namibe,1,AO,1581469855,81,-15.2,12.15,74.21,9.84
256,college,40,US,1581469947,69,64.86,-147.8,-8.0,4.7
257,vila franca do campo,75,PT,1581469947,87,37.72,-25.43,59.0,9.17
258,provideniya,90,RU,1581469947,84,64.38,-173.3,1.4,20.13
259,kerrobert,90,CA,1581469947,92,51.92,-109.13,24.8,13.87
260,broome,75,US,1581469947,92,42.25,-75.83,34.0,4.81
261,ulladulla,75,AU,1581469937,100,-35.35,150.47,73.4,11.41
262,quatre cocos,75,MU,1581469947,88,-20.21,57.76,79.0,11.41
263,nuuk,40,GL,1581469947,66,64.18,-51.72,10.4,10.29
264,muli,81,MV,1581469947,77,2.92,73.57,82.2,19.71
265,le port,26,RE,1581469948,94,-20.94,55.29,77.0,16.11
266,deputatskiy,75,RU,1581469948,78,69.3,139.9,-16.58,0.27
267,dingle,17,PH,1581469870,81,11.0,122.67,74.01,12.93
268,sayat,90,TM,1581469948,93,38.78,63.88,37.4,9.17
